,causal_model_name,model_t,model_y,est_ate,true_ate,mu_risk,tao_risk,run_time,data
0,SLearner,GradientBoostingClassifier,GradientBoostingRegressor,3.905360602291032,4.016066896118338,0.19072666102484134,0.012255883492977813,0.0699470043182373,ihdp
1,SLearner,RandomForestClassifier,GradientBoostingRegressor,3.90521588894222,4.016066896118338,0.19075672655548295,0.012287945791959803,0.07445764541625977,ihdp
2,SLearner,LogisticRegression,GradientBoostingRegressor,3.9058525495613075,4.016066896118338,0.19167388971720134,0.012147202186993257,0.06862902641296387,ihdp
3,SLearner,LogisticRegressionCV,GradientBoostingRegressor,3.9051542333427283,4.016066896118338,0.1907343337439774,0.01230161876397615,0.06682610511779785,ihdp
4,SLearner,MLPClassifier,GradientBoostingRegressor,3.9052737828442394,4.016066896118338,0.19072854518191204,0.012275113948967263,0.06731915473937988,ihdp
5,SLearner,DecisionTreeClassifier,GradientBoostingRegressor,3.905404793850836,4.016066896118338,0.19114344680829476,0.012246100878263085,0.06797313690185547,ihdp
6,SLearner,GradientBoostingClassifier,RandomForestRegressor,3.90150310684115,4.016066896118338,0.726025187411714,0.01312486181354794,0.21974515914916992,ihdp
7,SLearner,RandomForestClassifier,RandomForestRegressor,3.904638698716686,4.016066896118338,0.7137948238992514,0.012416243176181525,0.21202421188354492,ihdp
8,SLearner,LogisticRegression,RandomForestRegressor,3.898807994417101,4.016066896118338,0.6805831339411487,0.013749650028180436,0.21270108222961426,ihdp
9,SLearner,LogisticRegressionCV,RandomForestRegressor,3.8845533689767167,4.016066896118338,0.7072421031765838,0.017295807821230004,0.21174311637878418,ihdp
10,SLearner,MLPClassifier,RandomForestRegressor,3.922789992413051,4.016066896118338,0.6844635654433939,0.008700580764845377,0.21020174026489258,ihdp
11,SLearner,DecisionTreeClassifier,RandomForestRegressor,3.905215234428433,4.016066896118338,0.6878171765329726,0.01228809089941313,0.2126758098602295,ihdp
12,SLearner,GradientBoostingClassifier,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.0035059452056884766,ihdp
13,SLearner,RandomForestClassifier,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.0026030540466308594,ihdp
14,SLearner,LogisticRegression,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.001744985580444336,ihdp
15,SLearner,LogisticRegressionCV,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.0015540122985839844,ihdp
16,SLearner,MLPClassifier,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.001505136489868164,ihdp
17,SLearner,DecisionTreeClassifier,LinearRegression,3.9286717508727116,4.016066896118338,0.7457947163433726,0.0076379114125041565,0.0016880035400390625,ihdp
18,SLearner,GradientBoostingClassifier,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0009539127349853516,ihdp
19,SLearner,RandomForestClassifier,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0008304119110107422,ihdp
20,SLearner,LogisticRegression,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0006911754608154297,ihdp
21,SLearner,LogisticRegressionCV,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0006878376007080078,ihdp
22,SLearner,MLPClassifier,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0013141632080078125,ihdp
23,SLearner,DecisionTreeClassifier,ElasticNet,0.23385243093457742,4.016066896118338,15.043303065576142,14.30514626064528,0.0014388561248779297,ihdp
24,SLearner,GradientBoostingClassifier,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.01855015754699707,ihdp
25,SLearner,RandomForestClassifier,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.020807266235351562,ihdp
26,SLearner,LogisticRegression,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.019354820251464844,ihdp
27,SLearner,LogisticRegressionCV,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.018266916275024414,ihdp
28,SLearner,MLPClassifier,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.01989889144897461,ihdp
29,SLearner,DecisionTreeClassifier,ElasticNetCV,3.786499052181875,4.016066896118338,0.7908581999005047,0.05270139496963634,0.020193815231323242,ihdp
30,SLearner,GradientBoostingClassifier,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0007648468017578125,ihdp
31,SLearner,RandomForestClassifier,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0007548332214355469,ihdp
32,SLearner,LogisticRegression,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0010650157928466797,ihdp
33,SLearner,LogisticRegressionCV,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0011110305786132812,ihdp
34,SLearner,MLPClassifier,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0014829635620117188,ihdp
35,SLearner,DecisionTreeClassifier,Lasso,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.001977205276489258,ihdp
36,SLearner,GradientBoostingClassifier,LassoLars,0.0,4.016066896118338,16.866950119028445,16.12879331409758,0.0009999275207519531,ihdp
