,causal_model_name,model_t,model_y,est_ate,true_ate,mu_risk,tao_risk,run_time,data,best_model_y_params,best_model_t_params,f1_score_model_t,mse_model_y
0,TLearner,,RandomForestRegressor,3.922737095036408,4.016066896118338,,0.0087104517699926,0.0575847625732421,ihdp,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 25}","{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.7304277380123199,1.2867034457073427
1,TLearner,,ElasticNetCV,3.9586987825278417,4.016066896118338,,0.0032911004569321,0.0298569202423095,ihdp,"{'l1_ratio': 0.9, 'max_iter': 100, 'tol': 0.01}","{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",0.7367862522200683,3.4596442141358827
